student_id,gender,age,attendance_percent,study_hours_per_week,parental_education,previous_exam_score,math_score,science_score,english_score,internet_access,extracurricular_activities,socio_economic_status,school_type,performance_level
S0262,Female,16,88.4,1.9,Postgraduate,91.0,43.0,45.4,28.9,Yes,No,Low,Private,High
S0263,Male,18,87.3,17.2,No formal,82.1,2.7,2.8,16.7,No,No,High,Public,Low
S0264,Male,16,97.5,0.5,Undergraduate,74.5,42.0,43.3,39.5,No,No,High,Private,High
S0265,Male,16,85.4,4.9,Undergraduate,43.2,1.1,1.1,8.6,No,No,High,Private,Low
S0266,Male,18,72.5,8.3,High school,71.6,30.2,16.8,32.5,Yes,No,High,Public,Medium
S0267,Female,18,92.8,17.9,No formal,43.7,5.0,3.0,14.8,Yes,No,Low,Private,Low
S0268,Male,16,78.5,16.7,No formal,78.9,13.5,5.6,15.9,No,Yes,Low,Public,Low
S0269,Female,16,89.4,5.4,No formal,53.3,2.2,4.8,15.9,No,No,Low,Public,Low
S0270,Female,17,78.7,7.4,Diploma,98.3,18.1,20.2,30.4,Yes,No,Low,Private,Medium
S0271,Female,17,96.5,8.6,Undergraduate,79.4,15.1,7.8,2.4,Yes,No,Low,Private,Low
S0272,Male,16,84.6,17.1,No formal,64.7,26.5,20.7,14.6,No,Yes,Middle,Private,Medium
S0273,Female,18,78.1,6.7,Diploma,95.0,16.5,19.4,23.7,Yes,Yes,Middle,Public,Medium
S0274,Male,15,84.2,6.1,Diploma,76.4,46.3,45.6,38.5,No,Yes,High,Private,High
S0275,Female,17,87.5,7.9,High school,77.3,35.9,37.6,42.0,No,No,Middle,Public,High
S0276,Female,18,96.4,6.0,No formal,85.2,14.6,10.6,4.8,Yes,No,High,Public,Low
S0277,Male,18,78.9,9.5,Diploma,40.0,31.8,24.3,17.0,No,No,Low,Private,Medium
S0278,Female,17,82.7,6.3,No formal,74.0,44.3,48.5,38.0,No,No,High,Public,High
S0279,Male,16,90.6,4.0,Postgraduate,47.9,49.9,36.3,49.1,Yes,Yes,Low,Public,High
S0280,Male,15,82.0,15.1,Postgraduate,55.0,39.8,39.8,28.8,No,No,Middle,Private,High
S0281,Female,18,93.3,7.5,No formal,58.9,13.5,16.0,16.4,Yes,No,High,Public,Low
S0282,Female,16,81.1,4.2,No formal,78.5,19.6,17.3,20.8,No,Yes,High,Private,Medium
S0283,Male,16,93.4,5.6,Undergraduate,53.8,21.3,25.3,21.5,No,Yes,Low,Private,Medium
S0284,Male,15,73.5,16.3,Undergraduate,55.8,17.5,10.3,14.1,Yes,No,Low,Public,Low
S0285,Male,15,77.8,3.0,Diploma,52.5,35.0,42.0,42.9,No,No,Low,Public,High
S0286,Male,15,80.4,5.4,No formal,51.8,44.9,43.0,35.4,No,No,Middle,Private,High
S0287,Female,15,93.2,6.9,Diploma,53.3,40.9,44.3,36.4,Yes,No,Low,Private,High
S0288,Male,15,73.4,4.1,High school,52.9,9.0,0.8,5.8,Yes,Yes,High,Private,Low
S0289,Male,17,72.0,14.0,High school,88.2,33.7,31.3,17.0,Yes,No,High,Public,Medium
S0290,Male,16,75.8,15.6,Undergraduate,75.6,18.8,21.5,16.4,No,No,Low,Public,Medium
S0291,Female,18,74.4,8.7,Undergraduate,52.8,28.6,29.6,18.9,No,Yes,Middle,Public,Medium
S0292,Female,17,93.1,10.9,Undergraduate,84.8,4.7,8.1,9.3,Yes,No,Low,Public,Low
S0293,Female,15,88.2,11.4,High school,89.7,16.1,8.5,6.5,No,Yes,Middle,Private,Low
S0294,Female,17,87.6,1.5,Diploma,88.1,19.8,30.7,16.5,Yes,Yes,Low,Private,Medium
S0295,Female,17,83.6,13.2,No formal,85.6,16.5,8.6,0.9,No,Yes,High,Public,Low
S0296,Female,15,76.4,6.6,High school,99.0,26.3,20.6,27.8,Yes,Yes,High,Public,Medium
S0297,Male,18,77.3,3.6,Postgraduate,48.6,9.7,1.1,9.7,No,No,High,Public,Low
S0298,Female,15,77.2,9.4,Undergraduate,61.1,39.7,43.8,29.6,Yes,No,Middle,Public,High
S0299,Male,17,88.1,14.0,Postgraduate,65.0,48.7,50.0,31.5,No,Yes,Middle,Public,High
S0300,Female,15,72.4,3.0,Undergraduate,63.8,45.9,44.9,45.5,No,No,Low,Private,High
S0301,Male,17,86.5,4.3,No formal,71.5,30.8,37.8,34.9,No,Yes,Middle,Private,High
S0302,Male,18,77.9,2.4,Diploma,72.7,31.8,48.6,45.8,No,No,Middle,Private,High
S0303,Male,18,95.0,14.5,High school,50.6,44.7,49.6,27.3,Yes,No,Middle,Public,High
S0304,Female,15,96.0,14.0,Diploma,57.9,33.5,29.8,28.0,Yes,Yes,High,Public,Medium
S0305,Male,17,91.1,8.1,Postgraduate,72.9,29.2,14.9,16.9,No,Yes,Low,Public,Medium
S0306,Male,16,86.1,13.5,No formal,98.5,38.3,47.4,44.2,No,Yes,Low,Private,High
S0307,Male,15,88.6,12.3,Postgraduate,62.8,9.7,14.9,2.0,Yes,Yes,Low,Public,Low
S0308,Female,16,93.5,9.7,Undergraduate,95.3,16.7,14.7,28.6,Yes,Yes,High,Private,Medium
S0309,Female,15,94.3,11.2,Postgraduate,87.2,38.5,36.2,27.7,No,No,High,Private,High
S0310,Female,18,85.8,1.9,No formal,42.3,13.6,4.3,12.9,Yes,No,High,Private,Low
S0311,Male,16,72.4,12.2,Postgraduate,70.7,6.9,3.4,14.1,Yes,No,Low,Public,Low
S0312,Male,18,98.1,16.4,Undergraduate,57.6,6.0,4.0,10.7,No,No,Middle,Private,Low
S0313,Female,15,88.3,9.1,Diploma,66.5,32.8,47.2,40.7,No,No,Low,Private,High
S0314,Male,17,85.9,8.0,Undergraduate,92.0,20.8,16.6,20.2,Yes,No,High,Private,Medium
S0315,Female,16,89.6,3.3,No formal,46.9,31.0,25.5,13.1,No,No,Low,Private,Medium
S0316,Male,15,99.3,12.6,No formal,77.5,2.6,7.1,9.5,No,Yes,Low,Public,Low
S0317,Male,17,99.3,14.0,No formal,56.4,30.6,24.0,29.6,No,No,Middle,Private,Medium
S0318,Female,16,92.4,8.5,Diploma,41.1,7.2,2.5,0.2,Yes,No,Middle,Private,Low
S0319,Male,17,86.3,10.7,Undergraduate,53.7,37.5,46.0,40.3,Yes,Yes,Middle,Private,High
S0320,Female,17,73.8,11.0,No formal,66.3,44.5,39.1,37.3,Yes,No,Low,Private,High
S0321,Male,17,82.3,2.4,Diploma,55.8,17.1,10.7,12.3,No,Yes,Low,Private,Low
S0322,Female,17,95.9,11.0,Diploma,68.6,45.9,30.1,39.1,Yes,Yes,Low,Private,High
S0323,Male,18,81.5,0.1,Diploma,42.2,12.2,0.4,5.5,No,Yes,Low,Public,Low
S0324,Male,15,87.2,8.6,High school,60.5,11.7,5.8,16.5,No,Yes,Low,Private,Low
S0325,Female,17,74.3,15.9,Undergraduate,96.0,0.9,5.4,10.1,Yes,Yes,High,Private,Low
S0326,Female,16,85.7,12.9,Undergraduate,70.8,16.1,4.2,9.4,No,Yes,Middle,Private,Low
S0327,Female,15,75.5,6.8,No formal,98.4,10.8,1.6,1.6,Yes,No,High,Public,Low
S0328,Male,16,83.8,5.5,Undergraduate,42.7,42.5,41.5,38.8,Yes,Yes,High,Public,High
S0329,Female,17,93.3,12.8,High school,91.9,20.9,15.8,26.6,No,No,Low,Public,Medium
S0330,Male,18,72.7,11.3,High school,63.5,9.9,13.4,10.3,No,Yes,Middle,Public,Low
S0331,Male,15,76.2,13.6,High school,64.8,35.1,40.7,47.9,Yes,Yes,High,Public,High
S0332,Female,16,90.0,1.8,Postgraduate,63.0,23.1,15.2,30.4,Yes,No,Middle,Public,Medium
S0333,Female,15,88.2,15.4,No formal,80.5,49.2,33.7,27.4,Yes,No,Middle,Private,High
S0334,Male,16,81.9,13.9,High school,86.0,33.9,17.2,26.6,Yes,Yes,High,Private,Medium
S0335,Male,15,81.1,0.2,High school,95.2,7.1,7.4,16.4,No,No,High,Public,Low
S0336,Male,18,93.6,5.1,Undergraduate,62.7,20.7,13.5,20.7,No,Yes,Middle,Public,Medium
S0337,Female,17,78.5,11.3,Undergraduate,74.7,15.3,7.4,0.9,No,Yes,High,Public,Low
S0338,Female,18,74.3,11.1,Undergraduate,95.5,16.9,22.9,24.6,Yes,Yes,Middle,Public,Medium
S0339,Male,18,87.2,6.1,Postgraduate,80.8,46.0,40.8,43.5,Yes,Yes,Middle,Private,High
S0340,Male,15,99.8,15.0,No formal,81.8,1.6,13.0,6.6,Yes,Yes,Middle,Private,Low
S0341,Male,15,83.2,13.1,No formal,43.6,24.8,17.3,14.5,Yes,Yes,Low,Public,Medium
S0342,Male,18,80.5,5.9,No formal,59.5,46.9,44.2,28.2,No,Yes,Middle,Private,High
S0343,Female,16,87.6,8.4,Postgraduate,55.9,6.4,9.0,11.9,Yes,Yes,Low,Public,Low
S0344,Female,18,80.8,17.1,Postgraduate,55.8,31.1,16.4,18.5,No,Yes,Low,Private,Medium
S0345,Female,17,87.8,8.7,Postgraduate,72.3,7.6,10.6,11.8,No,No,High,Private,Low
S0346,Male,15,82.1,13.3,Undergraduate,81.0,34.2,40.3,44.1,No,No,Low,Public,High
S0347,Female,16,95.5,3.1,No formal,47.5,35.9,38.4,34.6,No,No,Middle,Private,High
S0348,Female,15,98.8,2.2,Diploma,98.0,28.2,25.6,24.1,Yes,No,Low,Private,Medium
S0349,Male,18,71.8,9.8,Postgraduate,49.5,41.7,37.7,49.6,Yes,Yes,Middle,Public,High
S0350,Female,15,80.1,10.4,High school,95.3,9.2,4.8,7.0,No,No,Low,Public,Low
S0351,Male,17,85.6,8.8,Diploma,43.3,3.8,15.2,3.0,No,No,High,Public,Low
S0352,Male,16,73.6,1.5,Postgraduate,43.7,5.2,13.0,1.8,No,No,Low,Public,Low
S0353,Female,17,75.7,9.9,High school,59.6,25.3,22.4,18.2,Yes,No,Middle,Private,Medium
S0354,Female,17,71.7,13.9,High school,64.4,40.3,38.9,42.6,Yes,Yes,High,Public,High
S0355,Female,17,74.5,6.7,Postgraduate,65.1,49.6,29.2,35.0,No,No,High,Private,High
S0356,Female,15,93.5,14.3,High school,46.5,4.9,15.1,12.1,No,No,Low,Public,Low
S0357,Male,18,76.1,7.6,Diploma,69.6,11.0,9.1,8.4,No,No,Low,Private,Low
S0358,Female,18,86.3,2.8,Undergraduate,56.7,38.1,37.5,31.2,Yes,No,Low,Public,High
S0359,Male,16,100.0,16.5,No formal,87.6,17.4,20.7,33.8,Yes,Yes,High,Public,Medium
S0360,Male,16,79.6,12.7,No formal,70.6,44.0,35.6,34.3,No,No,Low,Private,High
S0361,Male,16,87.3,2.2,No formal,64.3,9.1,3.4,4.2,Yes,No,Middle,Public,Low
S0362,Female,18,85.8,14.4,Undergraduate,67.7,32.1,35.1,40.8,Yes,No,Low,Private,High
S0363,Male,18,91.6,16.5,High school,45.1,34.0,44.1,43.8,Yes,No,Middle,Public,High
S0364,Male,17,87.1,6.7,Undergraduate,89.6,1.6,6.6,4.9,Yes,No,High,Public,Low
S0365,Female,17,91.9,10.3,Undergraduate,43.7,24.9,31.0,20.5,No,Yes,Low,Public,Medium
S0366,Male,17,74.8,7.8,Diploma,77.5,1.9,9.5,2.5,No,No,Middle,Public,Low
S0367,Male,16,92.5,9.5,Undergraduate,48.1,7.5,4.6,7.4,Yes,Yes,Middle,Public,Low
S0368,Male,15,73.3,14.1,Postgraduate,41.7,3.4,4.5,16.0,Yes,No,Middle,Private,Low
S0369,Male,15,95.1,4.8,Postgraduate,76.6,44.3,46.1,34.1,Yes,Yes,Middle,Public,High
S0370,Male,17,90.6,3.7,No formal,85.2,2.6,2.5,4.8,No,Yes,Middle,Private,Low
S0371,Male,17,79.1,8.4,High school,45.1,41.3,48.7,38.3,Yes,Yes,Low,Public,High
S0372,Female,15,73.9,5.5,Diploma,47.4,49.6,45.0,44.8,No,Yes,Low,Public,High
S0373,Male,16,97.5,3.1,Diploma,72.8,41.7,49.7,33.6,Yes,No,Low,Private,High
S0374,Female,17,85.2,8.2,Postgraduate,64.2,15.8,11.4,16.2,No,No,Low,Private,Low
S0375,Female,18,97.4,16.6,Postgraduate,63.3,32.4,27.9,26.8,Yes,No,Middle,Public,Medium
S0376,Male,17,89.2,15.2,High school,94.0,6.1,3.4,3.8,Yes,No,High,Public,Low
S0377,Male,15,99.8,14.1,High school,57.6,11.3,14.6,11.9,No,Yes,Low,Public,Low
S0378,Female,17,70.2,14.2,Undergraduate,90.1,2.9,0.8,5.4,Yes,Yes,Low,Public,Low
S0379,Male,15,99.5,4.6,High school,77.1,32.8,13.6,27.2,Yes,No,Low,Public,Medium
S0380,Female,17,96.4,7.5,No formal,78.5,20.8,23.6,17.0,No,Yes,High,Public,Medium
S0381,Female,15,96.0,4.3,High school,82.9,9.2,11.3,8.5,Yes,Yes,Low,Private,Low
S0382,Male,18,88.4,0.2,Postgraduate,86.0,0.1,9.2,9.8,Yes,Yes,Middle,Private,Low
S0383,Female,17,71.2,13.5,No formal,63.8,39.7,44.0,28.4,No,No,Low,Public,High
S0384,Male,17,81.4,6.3,Postgraduate,53.9,11.9,5.9,1.9,No,Yes,Middle,Public,Low
S0385,Female,18,84.8,3.0,No formal,86.7,20.7,31.2,25.8,No,No,Middle,Public,Medium
S0386,Male,16,85.2,0.4,Undergraduate,90.5,16.7,15.4,8.9,Yes,No,Middle,Public,Low
S0387,Male,17,89.1,7.1,Postgraduate,73.8,12.7,14.5,10.3,Yes,Yes,Middle,Public,Low
S0388,Female,16,90.8,7.0,High school,55.8,13.6,12.4,4.6,Yes,No,High,Private,Low
S0389,Male,15,76.7,9.2,Undergraduate,57.4,35.2,44.3,37.9,Yes,Yes,High,Private,High
S0390,Male,15,77.8,13.6,Undergraduate,55.0,32.2,32.4,38.3,Yes,No,High,Private,High
S0391,Male,16,98.0,16.9,No formal,52.3,43.8,45.7,48.4,No,Yes,Middle,Private,High
S0392,Male,16,87.0,8.5,No formal,81.0,33.8,15.7,31.4,Yes,No,High,Private,Medium
S0393,Female,17,90.6,16.3,Diploma,57.8,0.5,15.3,6.7,Yes,Yes,High,Public,Low
S0394,Male,18,73.8,2.7,Undergraduate,59.5,18.7,19.1,13.8,No,No,Low,Private,Medium
S0395,Female,17,87.8,0.1,Undergraduate,46.3,15.9,26.4,21.3,No,No,Middle,Public,Medium
S0396,Male,15,75.2,0.1,Diploma,52.6,33.5,44.2,37.4,Yes,Yes,High,Public,High
S0397,Male,17,78.1,11.5,High school,78.6,21.6,24.6,19.2,No,No,Middle,Public,Medium
S0398,Female,18,95.4,17.4,Undergraduate,66.0,6.3,12.5,11.5,No,No,High,Public,Low
S0399,Male,16,85.6,7.0,Diploma,88.0,9.3,12.6,16.3,No,No,High,Private,Low
S0400,Male,15,83.0,3.4,No formal,66.9,16.9,7.8,15.8,No,Yes,High,Private,Low
S0401,Female,17,86.3,2.1,Undergraduate,88.4,46.7,44.4,46.5,No,Yes,Middle,Private,High
S0402,Female,17,80.5,6.9,Diploma,49.4,15.6,9.2,5.4,Yes,Yes,Middle,Private,Low
S0403,Female,18,97.7,0.5,No formal,71.5,5.8,11.4,5.7,No,No,Low,Private,Low
S0404,Male,17,97.9,7.6,Diploma,45.3,11.2,2.6,16.9,Yes,No,Middle,Private,Low
S0405,Male,16,93.9,9.0,Undergraduate,85.8,41.6,35.9,41.8,Yes,No,Middle,Public,High
S0406,Male,15,85.6,6.2,Diploma,96.4,44.6,28.7,30.8,Yes,Yes,High,Private,High
S0407,Female,16,79.1,1.5,No formal,68.7,5.7,11.0,8.7,No,No,High,Private,Low
S0408,Male,15,87.3,2.5,Diploma,87.5,36.6,48.9,33.9,No,No,Middle,Private,High
S0409,Male,15,72.7,0.0,High school,60.4,7.2,4.3,0.6,Yes,Yes,Low,Public,Low
S0410,Female,15,93.8,15.4,Diploma,94.2,25.7,18.1,30.1,No,Yes,Low,Public,Medium
S0411,Female,18,74.4,12.8,Postgraduate,74.5,8.4,2.2,2.7,No,Yes,High,Public,Low
S0412,Female,16,88.9,7.4,High school,88.9,8.2,11.6,10.8,Yes,No,Low,Private,Low
S0413,Female,18,87.8,5.8,High school,49.4,18.9,22.3,13.3,No,Yes,Middle,Public,Medium
S0414,Male,17,77.7,10.4,No formal,93.5,3.4,15.5,4.3,No,Yes,High,Public,Low
S0415,Female,15,78.5,7.9,High school,85.4,9.8,13.9,9.2,Yes,No,High,Public,Low
S0416,Male,15,74.6,16.9,Diploma,45.3,39.9,31.4,46.4,No,No,Middle,Public,High
S0417,Male,15,84.9,10.1,High school,60.5,34.8,17.9,24.9,Yes,No,High,Public,Medium
S0418,Male,17,78.3,7.3,Undergraduate,65.5,13.7,2.9,1.4,Yes,Yes,High,Private,Low
S0419,Male,17,99.5,9.0,No formal,58.0,31.3,44.2,43.5,No,Yes,High,Private,High
S0420,Male,15,91.2,14.7,Postgraduate,98.9,40.6,39.2,32.6,No,No,High,Public,High
S0421,Female,18,79.6,13.8,Diploma,52.9,21.4,19.3,22.7,No,No,High,Public,Medium
S0422,Male,15,76.2,11.9,No formal,99.6,33.0,24.3,20.6,Yes,Yes,Low,Private,Medium
S0423,Female,18,87.3,6.3,Undergraduate,68.9,0.9,8.1,4.4,No,Yes,Middle,Private,Low
S0424,Female,18,78.3,0.3,Diploma,92.6,31.8,44.3,35.3,No,Yes,High,Private,High
S0425,Male,16,87.5,13.7,Diploma,80.7,12.9,13.0,1.9,Yes,No,Low,Private,Low
S0426,Female,17,84.5,6.4,Undergraduate,92.2,43.5,43.7,48.5,Yes,Yes,Low,Public,High
S0427,Female,18,88.1,11.6,Postgraduate,70.8,20.8,16.4,20.0,No,No,Middle,Public,Medium
S0428,Male,15,93.3,14.4,Undergraduate,76.5,15.9,6.5,0.9,No,Yes,High,Public,Low
S0429,Female,15,81.5,10.6,No formal,75.9,8.4,16.0,13.4,No,Yes,Low,Private,Low
S0430,Male,17,85.9,6.3,Postgraduate,47.3,1.2,11.0,1.7,Yes,No,Low,Public,Low
S0431,Female,17,97.5,8.7,No formal,83.3,26.2,29.5,15.8,Yes,Yes,Low,Private,Medium
S0432,Female,17,75.2,17.2,Diploma,74.4,15.9,11.7,6.1,Yes,No,Low,Private,Low
S0433,Male,17,95.5,10.7,Postgraduate,96.6,5.7,2.3,5.1,Yes,Yes,Low,Public,Low
S0434,Male,18,92.6,2.7,Diploma,58.5,19.4,15.2,32.5,Yes,No,Low,Private,Medium
S0435,Male,16,87.5,13.0,Diploma,59.6,27.7,27.2,26.8,No,No,High,Private,Medium
S0436,Female,16,98.9,8.2,Diploma,69.5,32.4,29.0,22.3,Yes,No,Middle,Public,Medium
S0437,Female,18,70.5,12.2,No formal,82.8,24.3,19.7,19.4,Yes,Yes,High,Private,Medium
S0438,Male,15,86.7,17.9,Postgraduate,93.3,3.9,7.3,4.0,No,No,Middle,Public,Low
S0439,Male,17,70.8,2.2,Undergraduate,94.9,22.3,24.6,22.5,No,Yes,High,Public,Medium
S0440,Female,17,73.5,6.0,Postgraduate,51.2,21.9,27.7,28.5,No,No,Low,Private,Medium
S0441,Female,17,75.7,14.7,Undergraduate,95.3,31.2,37.8,40.7,No,No,Low,Private,High
S0442,Female,17,77.9,2.7,Diploma,97.4,35.6,35.3,32.3,No,Yes,High,Public,High
S0443,Female,17,90.3,14.1,No formal,86.6,5.3,7.5,13.6,Yes,No,Middle,Private,Low
S0444,Female,18,76.8,2.7,Postgraduate,88.9,23.9,20.7,20.3,Yes,No,Middle,Public,Medium
S0445,Male,15,75.4,14.5,No formal,55.7,23.1,27.5,14.4,No,Yes,Middle,Public,Medium
S0446,Female,15,81.3,4.8,Diploma,70.4,10.9,4.4,12.5,Yes,Yes,High,Public,Low
S0447,Female,17,89.8,6.4,High school,87.5,6.2,14.9,6.6,No,No,Middle,Private,Low
S0448,Male,16,97.9,10.0,Undergraduate,84.6,34.6,49.7,36.8,Yes,No,Middle,Private,High
S0449,Female,15,78.6,14.0,Postgraduate,59.2,34.9,43.5,48.8,No,No,Middle,Private,High
S0450,Female,16,87.9,14.1,Diploma,65.6,23.6,16.9,28.1,Yes,Yes,High,Public,Medium
S0451,Female,15,85.7,8.6,Postgraduate,61.1,41.5,45.7,27.2,Yes,No,Middle,Public,High
S0452,Female,17,72.0,14.0,High school,82.9,6.8,6.7,14.0,No,Yes,High,Public,Low
S0453,Male,17,74.1,7.4,Undergraduate,48.1,31.5,31.9,46.8,Yes,No,Low,Private,High
S0454,Female,17,76.9,14.3,Diploma,51.3,22.3,18.9,17.1,No,No,Middle,Private,Medium
S0455,Female,17,97.4,10.3,High school,95.7,0.8,4.1,13.4,Yes,No,Middle,Private,Low
S0456,Female,18,87.5,5.2,Postgraduate,63.3,31.9,45.9,47.9,Yes,Yes,Middle,Private,High
S0457,Female,16,93.0,3.7,Postgraduate,67.1,15.1,13.8,6.6,Yes,No,Middle,Private,Low
S0458,Female,18,86.4,9.2,Postgraduate,52.2,23.6,19.3,16.8,Yes,No,Middle,Private,Medium
S0459,Male,17,92.2,6.5,High school,61.4,36.9,30.8,31.7,No,No,Middle,Public,High
S0460,Female,18,89.2,12.4,High school,47.4,14.3,6.0,1.3,Yes,No,Middle,Private,Low
S0461,Female,16,91.8,14.3,Diploma,74.2,45.9,44.1,34.5,Yes,Yes,Low,Public,High
S0462,Male,16,99.0,15.7,Postgraduate,68.9,13.1,7.8,5.1,No,No,Low,Public,Low
S0463,Male,18,92.6,9.2,Postgraduate,98.0,7.7,9.8,0.0,Yes,No,High,Private,Low
S0464,Male,17,84.9,16.2,Postgraduate,46.1,41.1,39.6,37.8,Yes,Yes,Low,Private,High
S0465,Male,17,75.2,0.3,High school,75.7,17.9,9.0,16.9,No,Yes,Middle,Private,Low
S0466,Female,16,71.6,11.3,Undergraduate,94.2,0.8,12.2,9.2,Yes,No,High,Public,Low
S0467,Female,17,89.5,7.2,Postgraduate,48.2,32.8,19.4,23.5,Yes,Yes,Low,Private,Medium
S0468,Male,15,87.8,14.2,Postgraduate,79.7,2.6,0.6,6.0,No,Yes,Low,Private,Low
S0469,Male,16,86.6,14.6,Postgraduate,48.5,32.6,27.7,32.1,No,Yes,High,Public,Medium
S0470,Male,16,81.6,6.5,High school,53.4,50.0,33.4,27.0,No,Yes,High,Public,High
S0471,Female,17,72.2,12.2,No formal,66.1,3.4,0.5,5.4,Yes,No,High,Public,Low
S0472,Female,18,88.1,16.7,Undergraduate,63.9,46.5,33.9,34.7,No,No,High,Private,High
S0473,Female,15,91.0,4.7,No formal,93.3,33.9,30.1,21.3,No,No,Middle,Private,Medium
S0474,Female,18,93.7,13.4,Undergraduate,52.4,20.2,29.0,23.3,No,No,Middle,Private,Medium
S0475,Female,15,74.7,11.6,Postgraduate,74.2,36.4,32.3,32.5,No,Yes,High,Public,High
S0476,Female,16,80.4,14.3,Postgraduate,94.2,36.2,37.0,27.8,Yes,No,Middle,Private,High
S0477,Female,16,73.6,0.8,Undergraduate,50.5,15.8,14.0,4.1,Yes,Yes,Middle,Public,Low
S0478,Male,16,82.7,1.0,Diploma,63.2,44.5,38.3,47.0,No,No,Low,Public,High
S0479,Female,16,85.6,12.7,Postgraduate,74.4,9.9,5.2,16.5,Yes,No,Low,Public,Low
S0480,Female,18,96.9,16.3,High school,77.2,34.9,37.2,45.7,No,Yes,Low,Public,High
S0481,Female,16,89.7,1.3,Undergraduate,59.1,21.2,16.0,23.4,No,Yes,Low,Public,Medium
S0482,Female,15,87.9,11.9,Diploma,80.5,9.7,7.1,4.1,Yes,Yes,Low,Public,Low
S0483,Male,16,78.3,10.5,Diploma,89.2,39.6,29.6,29.7,No,Yes,High,Private,High
S0484,Female,16,93.0,8.4,Postgraduate,53.0,28.3,13.4,17.4,Yes,No,Middle,Public,Medium
S0485,Male,17,91.1,8.8,High school,52.9,16.3,32.5,23.1,Yes,No,Low,Private,Medium
S0486,Male,15,88.6,9.2,No formal,43.7,26.2,17.0,33.0,Yes,Yes,High,Private,Medium
S0487,Male,16,74.2,0.8,No formal,65.7,26.8,16.2,21.5,Yes,No,High,Private,Medium
S0488,Male,18,83.5,15.8,High school,53.3,25.3,28.7,13.2,Yes,Yes,Low,Private,Medium
S0489,Female,15,70.3,11.0,Undergraduate,70.5,21.8,17.0,16.9,No,Yes,Middle,Private,Medium
S0490,Male,18,89.6,11.3,Diploma,56.3,33.3,31.1,13.1,No,No,High,Private,Medium
S0491,Female,18,84.9,8.3,High school,99.6,9.9,3.7,8.2,Yes,Yes,Low,Private,Low
S0492,Male,15,94.4,3.1,High school,82.5,0.7,15.0,4.6,No,No,High,Public,Low
S0493,Female,15,79.1,9.8,High school,63.8,36.0,38.4,44.7,No,No,Low,Public,High
S0494,Female,17,85.2,5.2,Undergraduate,97.3,44.8,47.2,43.6,Yes,Yes,High,Private,High
S0495,Female,15,74.5,10.5,Diploma,41.0,31.1,18.0,32.5,Yes,No,Middle,Private,Medium
S0496,Male,18,84.1,14.0,High school,50.0,14.1,2.5,5.9,No,Yes,Middle,Private,Low
S0497,Male,15,96.6,10.0,Undergraduate,74.5,42.4,44.3,49.5,Yes,Yes,High,Public,High
S0498,Female,17,94.7,1.3,Postgraduate,74.8,33.1,48.7,48.6,Yes,Yes,Middle,Private,High
S0499,Female,16,94.2,16.8,High school,63.2,26.0,30.7,32.1,Yes,Yes,Low,Public,Medium
S0500,Male,16,72.8,10.7,No formal,70.8,10.1,0.7,14.5,Yes,Yes,High,Public,Low
